index	itemText	coding	type	options	questionText	elements
1	Admitting that your tastes are different from those of a friend. 	S	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
2	Going camping in the wilderness.	R	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
3	Betting a day's income at the horse races.	"F,G"	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
4	Investing 10% of your annual income in a moderate growth diversified fund.	"F,I"	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
5	Drinking heavily at a social function.	"H,S"	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
6	Taking some questionable deductions on your income tax return.	E	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
7	Disagreeing with an authority figure on a major issue.	S	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
8	Betting a day's income at a high-stake poker game.	"F,G"	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
9	Having an affair with a married man/woman.	E	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
10	Passing off somebody else's work as your own.	E	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
11	Going down a ski run that is beyond your ability.	R	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
12	Investing 5% of your annual income in a very speculative stock.	"F,I"	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
13	Going whitewater rafting at high water in the spring.	R	rating	"Not at all Risky,Slightly Risky,Somewhat Risky,Moderately Risky,Risky,Very Risky,Extremely Risky"	"People often see some risk in situations that contain uncertainty about what the outcome or consequences will be and for which there is the possibility of negative consequences. However, riskiness is a very personal and intuitive notion, and we are interested in your gut level assessment of how risky each situation or behavior is.
For each of the following statements, please indicate how risky you perceive each situation. Provide a rating from Not at all Risky to Extremely Risky, using the following scale"	7
